artist,song_title,lyrics
702,Come & Knock On My Door,anticipate told would late boy wait got candle lit boy hesitate prepare amazed bend every move make way got wine ice cause sure late got buggin buggin always open kiss huggin lovin everything matter time always invited never fight take wrong wan turn come knock door waiting cause love time get enough faking real tell true love turn come knock door waiting cause love time get enough faking real tell true love turn come fast want everything planned cause tonight gon win ready give cause average man long time since let guard let missed let cut right chase handle got buggin buggin always open kiss huggin lovin everything matter time always invited never fight take wrong wan turn come knock door waiting cause love time get enough faking real tell true love turn come knock door waiting love time get enough faking real tell true love turn like like really really like adore come knock door like like really really like adore come knock door come knock door waiting cause love time get enough faking real tell true love turn come knock door waiting cause love time get enough faking real tell true love turn window window
702,Get It Together,wan stay really wan stay really wan want really need know get together get get together yeah wan really wan really wan stay really hope pray want stay get together get together let get together babe let confused take control hope start brand new wan lose love shared baby rare willing try make see need wan stay wan stay wan wan wan got let know feel let know feel wan wan stay wan wan wan got let know got let know feel feel yeah wan stay really wan stay really wan really need know want get together get together come babe let get together really wan really wan stay really hope pray get together come boy get together yeah yeah see confused know understand know wan stay know wan baby please listen wan really wan stay really wan wan really need know get together hey get together hope pray baby baby really wan really wan stay need know really hope pray got know get together get together
702,I Still Love You,ooh ooh yeah yeah yeah ooh ooh ooh ooh yeah yeah see everybody need someone side without another night since companionship gone life slow without see take rocket scientist know love take rocket scientist know need see believe change world someday believe say still love still love decided still love still love decided think let get back together let get back together nothin could hurt could get better think last felt like turn night forever see see take rocket scientist know love take rocket scientist know need see believe could change world someday believe say still love still love decided still love still love still love still love decided still love still love decided never dreamed happy sure baby life without dark dark dark know never lovin someone else precious love shining star remember first fell love young know could address made melt quick tell felt love real still still love whoa whoa whoa whoa still love whoa whoa still love decided still love whoa whoa whoa whoa still love whoa whoa still love decided still love whoa whoa whoa whoa think thing planned still love whoa whoa like changing face world knew decided still love whoa whoa whoa whoa long sun yellow ocean blue still love whoa whoa laugh cry day decided
702,Star,thing past recall showering gift never ask thought love real damn near gave last bracelet karat purchasing class alone empty bitter put simply know miss must hard pill swallow feel man hard act follow found time think everybody know dancing floor since left time slow well ready come light mind else see need boy honestly think impairing health see need boy probably dance star star wonder shine matter far matter far dancin mind yeah yeah baby cool left friend know long harmony every note could come inside kick like whatever float boat see need boy honestly think impairing health see need boy yeah probably dance star shining star wonder shine matter far dancing mind baby used used walk talk talk would hold hand hand time finished talking talking running land land wait move together came home water front castle hopped king sized bed wrestled closet full thousand dollar shoe tassel heard chef know asked like eat meanwhile donatello line asking size foot laugh day night treasure damn shame could stay together baby used used walk talk talk would hold hand hand time finished talking talking running land land wait move together baby know miss much like got midas touch star shining star wonder shine matter far matter far dancing dancin mind star wonder shine shine yeah yeah yeah matter far far dancing dancing mind
702,Steelo,yeah come yeah yeah yeah yeah yeah yeah gon keep real make feel boy give chill baby gon break drive wild whenever around know know flow flow get name number get name number like steelo hey hey dig way move way thing ooh thing baby bring swing way boy something make tell friend understand know style high profile flyest thing town know know flow get name number yeah get name number like steelo like steelo dig way move way thing baby bring baby bring swing way stay mind think time got get know well kiss tell stay mind think time got get know well kiss tell kiss hold say squeeze please whoa kiss hold say squeeze whoa kiss one two check check check follow follow many many many mile one two check lem lem lem lem lem break one two check follow follow many many many mile one two break lem lem lem lem lem break track get nasty like pornography word mommy like joe sloppy dag poppy got brand new bag real take like shaq shaq ask michael jackson bad say queen drag dag bad enough let pant sag vega chillax know know flow give want give need get name number like walk like steelo crazy style dig way move style fly way thing boy fine baby bring love pretty brown eye swing way want yeah hey baby hold come stop hold yeah
702,Where My Girls At,ooh ooh whoa ooh ooh ooh ooh see property girl touch might call bluff give call cell wish well girl tried failed girl front back well feelin put one hand repeat tryna take man see need yeah play play girl front back well feelin put one hand repeat tryna take man see need hey hey hey hey violate make hate decide mess mine chomp size make realize done messed time girl front back well feelin put one hand whoa repeat tryna take man see need play need girl front back well feelin put one hand yeah repeat yeah tryna take man see need yeah yeah yeah yeah must learn rule come close anything belongs mine property must leave girl girl front back well feelin feelin put one hand repeat tryna take man see need man play need girl front back well feelin gettin put one hand repeat tryna take man see need girl front back well feelin feelin put one hand repeat yeah tryna take man see need play girl girl said girl front back well feelin girl put one hand repeat girl tryna take man see need hey
702,Will You Be OK,ooh ooh ooh mmm okay away wish could stay yeah yeah yeah yeah yeah yeah yeah say okay yeah yeah yeah yeah yeah yeah yeah yeah yeah baby know long yet seems liking grown love baby know knew along little gone still need know okay okay okay yeah yeah yeah yeah yeah yeah yeah yeah yeah away see really wish could stay yeah yeah yeah yeah yeah yeah yeah yeah yeah wish could stay ooh wan yeah yeah yeah yeah yeah yeah yeah say okay wan say okay yeah yeah yeah yeah yeah yeah yeah yeah yeah baby tell look eye tryna hide feelin inside cry baby know promise gon see got know okay believe really wan leavin really wan always call need okay okay okay know really matter keepin heart never far away never far away yeah yeah okay got know yeah yeah yeah yeah yeah yeah yeah yeah yeah away really wan leave yeah yeah yeah yeah yeah yeah yeah yeah yeah wish could stay say baby say yeah yeah yeah yeah yeah yeah yeah say okay baby yeah yeah yeah yeah yeah yeah yeah yeah yeah okay yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah away yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah wish could stay believe say call yeah yeah yeah yeah yeah yeah yeah say okay need whoa ooh yeah yeah yeah yeah yeah yeah yeah yeah yeah believe really wan leavin always call need okay ooh ooh know really matter ooh ooh keepin heart ooh never far away okay let know let know let know yeah yeah yeah yeah yeah yeah yeah yeah yeah away never far away yeah yeah yeah yeah yeah yeah yeah yeah yeah wish could stay call say whoa yeah yeah yeah yeah yeah yeah yeah say okay hey hey ooh ooh yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah okay believe really wan leavin away always call need okay okay wish could stay know really matter say okay cause keepin heart never far away
702,You Don’t Know,yeah come soulshock karlin mmm right huh huh doin leave gave everything wan tell lie mean much know believe got open like girl got make see together want love get excited fight baby know know got lovin please yeah know got know know got lovin please know know got know see hurting buildin lettin never felt way walk door take baby girl got make see girl got make see together want love get excited fight baby know know got lovin please know got yeah yeah know know got lovin please know know got yeah know baby yeah see killing yeah know like flow come come dig though take think ready really really really damn huh huh know yeah huh come know know ooh got lovin please know baby got know know know know got lovin lovin please know know got hey know know know baby got lovin lovin please know know got know yeah yeah yeah know know got lovin lovin lovin please know know got know yeah yeah yeah yeah know mmm right
702,You’ll Just Never Know,never know ooh put till tomorrow today make last forever ooh forever always never know put till tomorrow today make last forever mmm ever forever forever always makin sure every time round recreating sweet brand new memory let silly change aggravate love moment concentrate slow dance parking lot hug kiss restaurant restaurant baby let sun let know lovin never know never know put till tomorrow today tomorrow today make last forever forever always never know ooh put till tomorrow today baby today make last forever ever forever forever forever always yeah yeah yeah yeah imagine one day without day without ever let cross mind whatever nothing else really matter gon keep lovin every minute never know put till tomorrow today make last forever hmm forever always hmm forever never know never know put till tomorrow today wait wait make last forever ever ever forever ever forever always never know put till tomorrow today tomorrow today make last forever forever always ooh never know never gon know put till tomorrow today make last forever forever ever forever forever always never know
A Day to Remember,All I Want,keep head low keep head low keep hope high head low
A Day to Remember,All Signs Point to Lauderdale,hate town washed friend give fuck tell bad luck find fit two three four remember tried never strayed far forever side matter going never know thing say help prove still side never show guess always wrong hate town washed friend give fuck tell bad luck find fit hate town one understand tied nothing come plan never know thing say help prove still side never show guess always wrong hate town washed friend give fuck tell bad luck find fit believe word telling believe word telling let find fit hate town let world gone mad ever bring gave everything turn back around time worth something bigger live life always backing got right make sound nothing least say stand something stand something hate town washed friend give fuck tell bad luck find fit believe word telling believe word telling let find fit hate town hate town hate town hate town hate town
A Day to Remember,Have Faith in Me,faith thing seen believe cling know never let know thing always seem said never let never said never let fall always meant chance never always find right going crazy thing street believe pretend alright pretend alright stay night world keep safe said never let never said never let fall always meant chance never always find right said never let never said never let fall always meant chance never always find right got outside looking see weight world shoulder wan see fall got outside looking outside looking see weight world shoulder wan see fall faith said never let never said never let fall always meant chance never always find right said never let never said never let fall fall always meant meant chance never always find right said never let never said never let never said never let never said never let never
A Day to Remember,If It Means A Lot To You,hey darling hope good tonight know feel right leaving yeah want need tell something sweet get come back home singing everyone singing wait get home swear make last wait get home swear come tomorrow past well might best hey sweetie well need tonight know want leaving yeah want help feel complete side know come home singing everyone singing wait get home swear make last wait get home swear come tomorrow past well might best know give need even though mean much wait everything really happening swear never happy dare say friend boy sway knew happen eventually everybody singing everybody singing wait get home everybody singing swear make last everybody singing wait get home everybody singing swear make last everybody singing
A Day to Remember,Mr. Highway’s Thinking About the End,like speaking tongue ever ever get deserve get deserve long table turn table turn ever ever get deserve created monster bring side one see quit stalling pack bag keep walking away life lead destruction struggled long sit back let take given everything like speaking tongue ever ever get deserve get deserve long table turn table turn ever ever get deserve get deserve get deserve get deserve disrespect surroundings make alive make alive make alive make alive like speaking tongue ever ever get deserve long table turn ever ever get deserve ever get deserve ever get deserve
A Day to Remember,Resentment,resentment need short term fix long term problem learn love chain know point forgot circlin drain stop feelin like every day exactly one track mind think change trapped memory stuck replay replay replay start spark wildfire burning burning dance demon high wire lift lifting resentment know lost voice let rot hard truth cut way pourin heart unforgiven washing like rain stop feeling like every day exactly one track mind think change trapped memory stuck replay replay replay start spark wildfire burning burning dance demon high wire lift lifting resentment got chip shoulder press issue sight need introduction welcome eye tiger start spark wildfire burning burning dance demon high wire lift lifting start spark wildfire burning burning dance demon high wire lift lifting wildfire wildfire resentment wildfire wildfire resentment
A Day to Remember,"Sometimes You’re the Hammer, Sometimes You’re the Nail",start wan take take take take take away take away wait wait wait wait wait stumbling got wan take take take take take away take away wait wait wait wait wait stumbling get carried away fear set instant much get exposed weakest scared tell truth tend best everything go wrong everything go wrong sad song make happy feel alone wan take take take take take away take away wait wait wait wait wait stumbling got wrong night long one else around wan take take take take take away get carried away never done done lately care sayin one listening like gon respect respect came nothing leave hope wake got regret day doubt day doubt left sadness one lead wan take take take take take away take away wait wait wait wait wait stumbling got wrong night long one else around wan take take take take take away get carried away reserve right feel uncomfortable reserve right afraid make mistake humbled every step way want better person wan know master plan cast stone cast judgment make reserve right feel uncomfortable reserve right afraid make mistake humbled every step way want better person wan know master plan cast stone cast judgment make god help help forget everyone else lost nerve missed point god help open hand may never feel burden yeah stand close distance
A Day to Remember,The Downfall of Us All,dada dada dada dada dada dada dada let easy making name draw line never thought far let fun never change anyone try miss gone woah woah sold soul open road live life alone find spot believe could never stop life turned upside meet past train track leaving coming back right wrong town downfall gon need try follow along best could try write song tell sold like one changed write feel say mean buy sincerity woah woah sold soul open road live life alone find spot believe could never stop life turned upside meet past train track leaving coming back right wrong town downfall forget made mind signed three four five dotted line forget made mind signed three four five dotted line find spot believe could never stop life turned upside meet past train track leaving coming back right wrong right wrong find spot believe point blame take fall could never stop life turned upside right wrong meet past train track leaving point blame take fall coming back right wrong town downfall town downfall downfall downfall downfall downfall
A Day to Remember,"You Be Tails, I’ll Be Sonic",still wish best luck baby thinking waste time could forget tried killed left good tired let broken look mess front word need spoken got nobody else blame though tried kept past mistake held inside live regret whole life thing love thing hate get first place play cool hard trust slowly burning inside anymore progress know fate thing heal time space killed left good tired let broken look mess front word need spoken got nobody else blame though tried kept past mistake held inside live regret whole life whole life
AC/DC,Back in Black,back black hit sack long glad back yes let loose noose kept hangin lookin sky gettin high forget hearse never die got nine life cat eye abusin every one runnin wild back yes back well back yes back well back back well back black yes back black back back cadillac number one bullet power pack yes bang ooh gang got catch want hang back track beatin flack nobody gon get another rap look makin play try push luck get outta way back yes back well back yes back well back back well back black yes back black well back yes back well back yes back well back back well back black yes back black yow yeah yeah yes yeah yeah hey yeah well back back back well back back back back back back back back back black yes back black outta sack
AC/DC,Big Balls,well upper upper class high society god gift ballroom notoriety always fill ballroom event never small social page say got biggest ball got big ball got big ball big ball dirty big ball got big ball got big ball got biggest ball ball always bouncing ballroom always full everybody come come name guest list one take higher everybody say got great ball fire got big ball got big ball big ball dirty big ball got big ball got big ball got biggest ball ball held charity fancy dress held pleasure ball like best ball always bouncing left right belief big ball held every night got big ball got big ball got big ball dirty big ball got big ball got big ball got biggest ball got big ball got big ball itching tell got big ball dirty big ball wonderful fun got big ball seafood cocktail got big ball crab got biggest ball crayfish bollock knacker bollock knacker bollock knacker bollock knacker bollock knacker bollock knacker bollock knacker bollock knacker bollock knacker bollock knacker bollock knacker
AC/DC,Dirty Deeds Done Dirt Cheap,havin trouble high school head givin blue wan graduate bed got pick phone always home call anytime ring hey lead life crime dirty deed done dirt cheap dirty deed done dirt cheap dirty deed done dirt cheap dirty deed done dirt cheap dirty deed done dirt cheap got problem life love got broken heart double dealin best friend teardrop start fella pick phone alone make social call come right forget ball hey dirty deed done dirt cheap dirty deed done dirt cheap dirty deed done dirt cheap dirty deed done dirt cheap dirty deed done dirt cheap yeah got lady want gone got gut keep naggin night day enough drive nut pick phone leave alone time made stand fee happy back door man hey dirty deed done dirt cheap dirty deed done dirt cheap dirty deed done dirt cheap dirty deed done dirt cheap yeah dirty deed done dirt cheap concrete shoe cyanide tnt done dirt cheap ooh neck tie contract high voltage done dirt cheap yeah dirty deed anythin want done dirt cheap dirty deed dirty deed dirty deed done dirt cheap yeah
AC/DC,Hells Bells,rollin thunder pourin rain comin like hurricane white lightning flashin across sky young gon die take prisoner spare life nobody puttin fight got bell gon take hell gon get satan get hell bell yeah hell bell got ringin hell bell temperature high hell bell give black sensation spine evil friend mine hell bell hell bell got ringin hell bell temperature high hell bell yow hell bell satan comin hell bell ringin hell bell temperature high hell bell across sky hell bell takin hell bell draggin hell bell gon split night hell bell way fight yeah yes hell bell
AC/DC,Highway to Hell,livin easy lovin free season ticket one way ride askin nothin leave takin everything stride need reason need rhyme nothin rather goin party time friend gon yeah highway hell highway hell highway hell highway hell stop sign speed limit nobody gon slow like wheel gon spin nobody gon mess around hey satan payin due playin rockin band hey mama look way promised land wow highway hell highway hell highway hell highway hell mmm stop hey hey ooh highway hell highway hell highway hell highway hell highway hell highway hell highway hell highway hell highway hell highway hell highway hell goin way woah highway hell
AC/DC,It’s a Long Way to the Top (If You Wanna Rock ‘n’ Roll),alright ridin highway goin show stoppin byway playin rock roll gettin robbed gettin stoned gettin beat broken boned gettin gettin took tell folk harder look long way top wan rock roll long way top wan rock roll think easy doin one night stand try playin rock roll band long way top wan rock roll hotel motel make wan cry lady hard sell know reason gettin old gettin grey gettin ripped underpaid gettin sold second hand go playin band long way top wan rock roll long way top wan rock roll wan star stage screen look rough mean long way top wan rock roll long way top wan rock roll well long way yeah long way told long way long way
AC/DC,Shoot to Thrill,woman want man street know way wan turn keep comin put hand one gon make burn gon take fool around gon pull pull pull trigger shoot thrill play kill many woman many pill yeah shoot thrill play kill got gun ready gon fire yeah like evil get skin like bomb ready blow illegal got everythin woman might need know gon take yeah fool around gon pull pull pull trigger shoot thrill play kill many woman many pill said shoot thrill play kill got gun ready gon fire shoot thrill ready kill get enough get fill shoot thrill play kill yeah pull trigger pull pull pull pull trigger shoot thrill play kill many woman many pill said shoot thrill play kill got gun ready gon fire shoot thrill ready kill get enough get fill shoot thrill play kill yeah shoot yeah gon get bottom girl shoot gon shoot ooh yeah yeah yeah gon shoot yeah yeah gon get shoot shoot shoot shoot shoot shoot shoot gon shoot thrill play kill shoot thrill yeah yeah
AC/DC,T.N.T.,see ride sunset colour screen get know mean woman left woman right got gun got knife start fight dynamite win fight power load watch explode dirty mean mighty unclean wanted man public enemy number one understand lock daughter lock wife lock back door run life man back town mess dynamite win fight power load watch explode dynamite win fight power load watch explode
AC/DC,Thunderstruck,thunder thunder thunder thunder thunder thunder thunder thunder thunder thunder caught middle railroad track thunder looked knew turnin back thunder mind raced thought could thunder knew help help thunder sound drum beatin heart thunder gun yeah tore apart thunderstruck went highway broke limit hit town went texas yeah texas fun met girl dancer gave good time broke rule played fool yeah yeah blew mind shakin knee could come please yeah lady kind thunderstruck thunderstruck yeah yeah yeah thunderstruck ooh thunderstruck yeah shakin knee could come please yow ooh yeah ooh thunderstruck thunderstruck yeah yeah yeah thunderstruck thunderstruck yeah yeah yeah said yeah right doin fine yeah right doin fine fine thunderstruck yeah yeah yeah thunderstruck thunderstruck thunderstruck whoa baby baby thunderstruck thunderstruck thunderstruck thunderstruck thunderstruck thunderstruck
AC/DC,You Shook Me All Night Long,fast machine kept motor clean best damn woman ever seen sightless eye tellin lie knockin american thigh takin share fightin air told come already wall start shakin earth quakin mind achin makin shook night long yeah shook night long workin double time seduction line one kind mine mine wanted applause another course made meal outta come back cool take another round back ring take another swing wall shakin earth quakin mind achin makin shook night long yeah shook night long knocked shook night long shakin shook night long yeah shook well took really took shook night long shook night long yeah yeah shook night long really got shook night long yeah shook yeah shook night long
